RNF39 AP1B1
PSMA1 CALCOCO2
PSMA1 GABARAPL2
PSMA1 PSMC1
PSMA1 PSMD6
PSMA1 PSMD7
PSMA1 ADRM1
PSMA1 PSMB5
PSMA1 PSMA2
PSMA1 TXNL1
PSMA1 PSMA4
PSMA1 PSMB2
PSMA1 PSMA1
PSMA1 PSMA5
PSMA1 PSMB8
PSMA1 POMP
PSMA1 PSMB1
PSMA1 PSMB3
PSMA1 PSMB6
PSMA1 PSMB7
PSMA1 PSMD11
PSMA1 PSMD12
PSMA1 PSMD1
PSMA1 PSMD8
PSMA1 PSME4
PSMA1 PSMG1
PSMA1 TMOD3
PSMA1 RBM28
PSMA1 MCC
PSMA1 CEP72
PSMA1 TUBA4A
PSMA1 BLZF1
PSMA1 POLR1C
PSMA1 LONRF1
PSMA1 YPEL5
PSMA1 CHMP1A
PSMA1 KHDRBS3
PSMA1 DYNLT1
PSMA1 WTAP
PSMA1 ZMYND19
PSMA1 PCBD1
PSMA1 NAB2
PSMA1 GPHN
PSMA1 DCTPP1
PSMA1 KAZN
FAS ANK3
FAS MAPK8
FAS DAXX
FAS SUMO1
FAS SP1
FAS EGFR
FAS SRC
FAS TNFRSF1A
FAS EZR
FAS FAF1
FAS BID
FAS CALM1
FAS YES1
FAS CASP10
FAS FAS
FAS CFLAR
FAS LRIF1
FAS FEM1B
FAS CALM2
FAS RIF1
FAS RIPK1
FAS TNFRSF10B
CCDC57 ZFC3H1
CCDC57 EIF4G1
CCDC57 NUMA1
CCDC57 TRIM29
CCDC57 ABI2
CCDC57 AMOTL2
CCDC57 CCDC120
CCDC57 MFAP1
CCDC57 PPHLN1
CCDC57 CCDC57
CCDC57 TBC1D22B
CCDC57 ZMAT2
CCDC57 NAPRT
CCDC57 ARL4A
CCDC57 ELOA
CCDC57 GPBP1
CCDC57 DTX2
CCDC57 FH
CCDC57 ABLIM1
CCDC57 TIMM44
CCDC57 GRPEL1
CCDC57 BEX2
CCDC57 ABI1
CCDC57 TP53BP2
CCDC57 RUSC1
CCDC57 HDX
CCDC57 PRPF18
CCDC57 NAB2
CCDC57 KRT4
CCDC57 ZNF655
AHNAK2 UBIAD1
AHNAK2 GABARAPL1
AHNAK2 GABARAPL2
AHNAK2 C3orf52
AHNAK2 CYB5B
RTN4 NR4A1
RTN4 SRC
RTN4 YAP1
RTN4 FXR2
RTN4 RTN3
RTN4 ARL6IP1
RTN4 MAP4K4
RTN4 TUBA4A
RTN4 UQCRC2
RTN4 RTN2
RTN4 MBP
RTN4 PLEKHF2
RTN4 RTN4
RTN4 ZFYVE21
RTN4 UQCRC1
AURKAIP1 MRPS7
AURKAIP1 MRPS35
AURKAIP1 MRPS10
AURKAIP1 AURKAIP1
RAB13 KRAS
RAB13 TGFBR1
RAB13 RAB13
AHCY AGR2
AHCY YWHAZ
AHCY EIF1B
AHCY MCC
AHCY MAPK13
AHCY AHCY
S100A4 MDM2
S100A4 EGFR
S100A4 SMAD3
S100A4 BAG6
S100A4 ANXA2
S100A4 PPFIBP1
S100A4 HBEGF
S100A4 METAP2
S100A4 EGF
S100A4 S100A4
S100A4 S100P
VDAC1 NPM1
VDAC1 NDUFS1
VDAC1 EIF3K
VDAC1 GAPDH
VDAC1 HSPA8
VDAC1 GSN
VDAC1 HSPD1
VDAC1 LRPPRC
VDAC1 CSNK2B
VDAC1 DDX5
VDAC1 TMEM41B
VDAC1 NCL
VDAC1 ANXA2
VDAC1 ACTB
VDAC1 HNRNPA2B1
VDAC1 ENO1
VDAC1 EIF3B
VDAC1 YBX1
VDAC1 HNRNPD
VDAC1 HSP90AA1
VDAC1 HSP90AB1
VDAC1 HNRNPA1
VDAC1 PHB
VDAC1 RAB7A
VDAC1 KIF5B
VDAC1 HK1
VDAC1 KPNB1
VDAC1 EIF3I
VDAC1 ATP5F1C
VDAC1 VAPA
VDAC1 HNRNPH1
VDAC1 SLC3A2
VDAC1 ATP1A1
VDAC1 MT-CO2
VDAC1 ATP5F1A
VDAC1 HSPA9
VDAC1 MCL1
VDAC1 RPLP0
VDAC1 MYL6
VDAC1 DDX3X
VDAC1 CBR1
VDAC1 RAN
VDAC1 BCL2L11
VDAC1 BAK1
VDAC1 ANXA1
VDAC1 TARDBP
VDAC1 FSCN1
VDAC1 BSG
VDAC1 EIF6
VDAC1 RPLP1
VDAC1 GABARAPL2
VDAC1 RPS24
VDAC1 ATP5F1B
VDAC1 SLC25A5
VDAC1 RAB2A
VDAC1 UQCRC2
VDAC1 VDAC2
VDAC1 ATP5PO
VDAC1 NDUFA8
VDAC1 ATP1B1
VDAC1 CYC1
VDAC1 DYNLT1
VDAC1 SLC25A4
VDAC1 NDUFA5
VDAC1 PGRMC1
VDAC1 SLC25A3
VDAC1 SSR4
VDAC1 NDUFS3
VDAC1 MCC
VDAC1 TUBA4A
VDAC1 MME
VDAC1 TNPO1
VDAC1 GSTK1
VDAC1 TOMM20
VDAC1 CYCS
VDAC1 VDAC1
VDAC1 CASP4
VDAC1 NUDC
VDAC1 DYNLT3
VDAC1 TOMM22
VDAC1 CKMT1A
VDAC1 CKMT1B
VDAC1 PPIF
TNFRSF21 APP
TNFRSF21 STX11
CAPZA2 RBBP6
CAPZA2 CD2AP
CAPZA2 ARPC2
CAPZA2 SVIL
CAPZA2 CNOT1
CAPZA2 KIAA1671
CAPZA2 CARMIL1
CAPZA2 DCTN3
CAPZA2 DCTN5
CAPZA2 DCTN6
CAPZA2 MYO5C
CAPZA2 MPP5
CAPZA2 PATJ
ZNF330 OTX1
ZNF330 MDFI
ZNF330 NOTCH2NLA
ZNF330 CHIC2
ZNF330 RWDD4
ZNF330 ZNF655
ZNF330 ZNF426
ZNF330 NDUFB7
ZNF330 ZNF768
PEF1 UBC
PEF1 EWSR1
PEF1 PDCD6IP
PEF1 TFG
PEF1 BAG3
PEF1 EIF4G1
PEF1 VPS37C
PEF1 CUL3
PEF1 CALCOCO2
PEF1 SEC31A
PEF1 FASN
PEF1 AKAP8L
PEF1 ANKRD10
PEF1 SEC24A
PEF1 C11orf1
PEF1 PEF1
NDUFS1 PML
NDUFS1 MYC
NDUFS1 NDUFB9
NDUFS1 UQCRC2
NDUFS1 PHB
NDUFS1 ATP5F1C
NDUFS1 VAPA
NDUFS1 ATP5F1B
NDUFS1 NDUFS3
NDUFS1 NDUFA9
NDUFS1 NDUFS2
NDUFS1 NDUFV2
NDUFS1 NDUFS7
NDUFS1 NDUFV1
NDUFS1 NDUFS8
NDUFS1 NDUFA12
NDUFS1 NDUFB5
NDUFS1 NDUFB10
NDUFS1 NDUFA8
NDUFS1 MT-CO2
NDUFS1 NDUFS4
NDUFS1 NDUFS5
NDUFS1 NDUFS6
NDUFS1 CYC1
NDUFS1 NDUFA1
NDUFS1 NDUFB4
NDUFS1 UQCRQ
NDUFS1 NDUFA13
NDUFS1 NDUFA4
NDUFS1 NDUFB3
NDUFS1 UQCR10
NDUFS1 UQCRFS1
NDUFS1 NDUFB6
NDUFS1 NDUFA10
NDUFS1 NDUFC1
NDUFS1 NDUFA2
NDUFS1 UQCR11
NDUFS1 NDUFB11
NDUFS1 NDUFC2
NDUFS1 NDUFAB1
NDUFS1 ETFDH
NDUFS1 MT-ND1
NDUFS1 CASP3
NDUFS1 NDUFB8
NDUFS1 NDUFA5
NDUFS1 MT-CYB
NDUFS1 NDUFB2
NDUFS1 NDUFA11
NDUFS1 NDUFB7
NDUFS1 UQCRC1
NDUFS1 NDUFB1
NDUFS1 MDH2
NDUFS1 NDUFA7
PSMB6 UBE3A
PSMB6 PSME3
PSMB6 EZH2
PSMB6 PSMA3
PSMB6 HSPA8
PSMB6 HSPA5
PSMB6 FBL
PSMB6 PSMD10
PSMB6 PSMD2
PSMB6 HSPA1A
PSMB6 PSMC6
PSMB6 PSME2
PSMB6 PSMD14
PSMB6 HSPA2
PSMB6 PSMC5
PSMB6 PSMC3
PSMB6 PSMC4
PSMB6 PSMC1
PSMB6 PSMD6
PSMB6 PSMD7
PSMB6 ADRM1
PSMB6 PSMA2
PSMB6 PSMD11
PSMB6 PSMD12
PSMB6 PSMD1
PSMB6 PSMD8
PSMB6 PSMB1
PSMB6 PSMA5
PSMB6 PSMB7
PSMB6 PSMA4
PSMB6 PSMB2
PSMB6 PSMB3
PSMB6 PSMB5
PSMB6 POMP
PSMB6 PSMB8
PSMB6 TUBA4A
PSMB6 PSME4
SRP14 NPM1
SRP14 MYC
SRP14 GNL3
SRP14 ARF6
SRP14 HNRNPU
SRP14 ILF2
SRP14 NOLC1
SRP14 FBL
SRP14 NCL
SRP14 DHX9
SRP14 YBX1
SRP14 EBNA1BP2
SRP14 TOP1
SRP14 HNRNPA1
SRP14 HNRNPM
SRP14 ILF3
SRP14 RPL24
SRP14 RPL10A
SRP14 RPLP0
SRP14 DDX21
SRP14 U2AF2
SRP14 NOP58
SRP14 RPLP1
SRP14 RPL23
SRP14 RPS24
SRP14 SRPK1
SRP14 SNU13
SRP14 SLC25A5
SRP14 BRIX1
SRP14 TUFM
SRP14 NSFL1C
SRP14 LYAR
SRP14 RBM28
SRP14 EIF1B
SRP14 RSL1D1
SRP14 SRP9
SRP14 SRP68
SRP14 SCYL2
SOS2 EGFR
SOS2 SRC
SOS2 SHC1
SOS2 COPS5
SOS2 YWHAZ
SOS2 CRK
SOS2 HOOK2
SOS2 NCK1
SOS2 MYO6
SOS2 CD2AP
SOS2 SNX9
SOS2 ABI1
SOS2 SH3D19
SOS2 PACSIN3
MAP3K8 MAP2K4
MAP3K8 RELA
MAP3K8 NFKB1
MAP3K8 NFKB2
MAP3K8 HSPA8
MAP3K8 REL
MAP3K8 CLTC
MAP3K8 HSPA5
MAP3K8 EZR
MAP3K8 GTF2I
MAP3K8 EIF4G1
MAP3K8 HSP90AA1
MAP3K8 HSP90AB1
MAP3K8 SPTBN1
MAP3K8 HSPA1A
MAP3K8 CALM1
MAP3K8 PFKL
MAP3K8 HSPA9
MAP3K8 MAP2K3
MAP3K8 DDX3X
MAP3K8 ACTL6A
MAP3K8 NFKBIB
MAP3K8 RDX
MAP3K8 MAP3K8
MAP3K8 LGALS3BP
MAP3K8 CALM2
MAP3K8 PAPOLA
MAP3K8 DSP
MAP3K8 EPPK1
MYL12B CSNK2A1
EPAS1 CREBBP
EPAS1 SUMO1
EPAS1 SP1
EPAS1 SIRT1
EPAS1 EP300
EPAS1 TFAP2A
EPAS1 SMAD3
EPAS1 EGLN3
EPAS1 EPAS1
EPAS1 PSMC3
EPAS1 MAX
BAALC KLF4
BAALC NAA10
BAALC MDFI
PSMG1 PSMA2
PSMG1 POMP
PSMG1 PSMG1
ATP5MF MYC
ATP5MF KDM1A
ATP5MF CAPNS1
ATP5MF ATP5F1C
ATP5MF ATP5F1A
ATP5MF NECTIN2
ATP5MF RPLP1
ATP5MF PRPF4
ATP5MF ATP5F1B
ATP5MF MME
ATP5MF ATP5IF1
ATP5MF ATP5PO
ATP5MF ARL8B
ATP5MF ATP5MC1
ATP5MF MT-ATP8
ATP5MF ATP5PF
ATP5MF ATP5PD
ATP5MF CCDC137
ATP5MF ATP5ME
ATP5MF MT-ATP6
ATP5MF ATP5F1D
KRT4 KRT15
KRT4 KRT19
KRT4 KRT13
KRT4 USP1
KRT4 PPP1R13B
KRT4 C14orf119
KRT4 KRT16
KRT4 KRT24
RTF1 UBE2B
RTF1 UBE2A
RTF1 CTR9
RTF1 LEO1
RTF1 PAF1
HSPA14 STIP1
HSPA14 DNAJC2
GLUD1 DYNLL1
GLUD1 GOT2
GLUD1 GLUD1
EGR1 SRF
EGR1 CREBBP
EGR1 SUMO1
EGR1 RELA
EGR1 SP1
EGR1 CSNK2A1
EGR1 PSMA3
EGR1 EGFR
EGR1 CDKN2A
EGR1 EP300
EGR1 CEBPB
EGR1 NAB1
EGR1 CSNK2A2
EGR1 ERBB3
EGR1 ATF1
EGR1 PITX1
EGR1 SOD1
EGR1 NAB2
EGR1 F3
EGR1 FOSL1
EGR1 PTGES
PAWR PML
PAWR HSPA5
PAWR RRAS2
PAWR AATF
PAWR SQSTM1
PAWR ATP5F1C
PAWR PAWR
CSAD CDKN1A
CSAD GSK3B
CSAD ANXA1
CSAD ANXA7
CSAD GOT2
CDS1 PLD2
CDS1 PLD1
CDS1 TMEM237
CDS1 NME3
CDS1 NME1
GNL3 MDM2
GNL3 NPM1
GNL3 MYC
GNL3 CDKN2A
GNL3 HNRNPF
GNL3 RPL23
GNL3 FBL
GNL3 LARP7
GNL3 ATP5F1C
GNL3 UPF1
GNL3 RPS24
GNL3 TOP1
GNL3 PHF5A
GNL3 RPL10A
GNL3 HNRNPA1
GNL3 MRPS15
GNL3 PHB
GNL3 HNRNPL
GNL3 RBM28
GNL3 POLR1C
GNL3 SYNCRIP
GNL3 HNRNPC
GNL3 NCL
GNL3 SLC25A3
GNL3 SF3B6
GNL3 SNU13
GNL3 U2AF2
GNL3 HSP90AB1
GNL3 RPL24
GNL3 MOV10
GNL3 GTF3C1
GNL3 NOP58
GNL3 DHX9
GNL3 DIMT1
GNL3 HNRNPU
GNL3 SLC25A5
GNL3 BRIX1
GNL3 DHX15
GNL3 ILF2
GNL3 LRRC59
GNL3 ZNF326
GNL3 NOLC1
GNL3 EIF4A3
GNL3 FMR1
GNL3 ILF3
GNL3 HNRNPM
GNL3 GTPBP4
GNL3 FXR2
GNL3 KRR1
GNL3 YBX1
GNL3 SCYL2
GNL3 LYAR
GNL3 SMNDC1
GNL3 RPLP1
GNL3 RPLP0
GNL3 EBNA1BP2
GNL3 TCP1
GNL3 TUFM
GNL3 SRPK1
GNL3 DDX21
GNL3 RSL1D1
GNL3 NR2F6
GNL3 GTF3C4
GNL3 PHLDA3
GNL3 HNRNPH2
GNL3 PAK1IP1
GNL3 TEX10
ARHGAP32 CTNNB1
ARHGAP32 ATXN1
ARHGAP32 PTK2
ARHGAP32 RAC1
ARHGAP32 SRC
ARHGAP32 BCAR1
ARHGAP32 GAB1
ARHGAP32 CRK
ARHGAP32 CDH1
ARHGAP32 SFN
ARHGAP32 CDC42
ARHGAP32 NCK1
ARHGAP32 ABI2
ARHGAP32 MDFI
TPM4 CDK2
TPM4 TCERG1
TPM4 LNX1
TPM4 TRIP6
PIP4K2C RXRA
PIP4K2C ACTG1
PIP4K2C HNRNPM
PIP4K2C PRPF40A
PIP4K2C MPRIP
PIP4K2C PIP4K2C
IGSF8 NCL
IGSF8 CD9
IGSF8 CD82
IGSF8 TGM1
PDE12 UBC
BLCAP TMEM237
BLCAP NOTCH2NLA
BLCAP TMEM14B
BAIAP2L1 MDM2
BAIAP2L1 YWHAG
BAIAP2L1 PRKAA2
BAIAP2L1 BAG3
BAIAP2L1 BAIAP2
PSMC1 UBE3A
PSMC1 MYC
PSMC1 PSMA3
PSMC1 KDM1A
PSMC1 NFKB2
PSMC1 UBC
PSMC1 HSPA8
PSMC1 VCP
PSMC1 COPS2
PSMC1 HSPA5
PSMC1 SEM1
PSMC1 PSMD10
PSMC1 PSMD2
PSMC1 HSPA1A
PSMC1 BAG1
PSMC1 TOPORS
PSMC1 PSMC6
PSMC1 PSME2
PSMC1 PSMD14
PSMC1 HSPA2
PSMC1 PSMC5
PSMC1 USP14
PSMC1 PSMC3
PSMC1 PSMC4
PSMC1 LNX1
PSMC1 PSMB5
PSMC1 PSMD6
PSMC1 PSMD7
PSMC1 PSMA2
PSMC1 PSMD8
PSMC1 PSMD1
PSMC1 PSMD11
PSMC1 PSMD12
PSMC1 PSMA5
PSMC1 PSMB1
PSMC1 PSMB7
PSMC1 PSMB2
PSMC1 PSMB3
PSMC1 PSMA4
PSMC1 PSMB8
PSMC1 ADRM1
PSMC1 TXNL1
PSMC1 PSMC1
PSMC1 TUBA4A
PSMC1 PSME4
CAPNS2 CAPN2
CAPNS2 PPIC
CAPNS2 ARMC10
PKP1 MYC
PKP1 KRT8
PKP1 GOLGA2
PKP1 HOOK2
PKP1 USP1
PKP1 GTF2IRD1
PKP1 DSP
PKP1 KRT14
PKP1 DSG1
PKP1 BICDL2
PDAP1 MEF2D
PDAP1 PDGFA
MLF2 HSPA8
MLF2 PRKAA2
MLF2 BAG3
MLF2 STUB1
MLF2 BAG1
MLF2 DNAJB6
MLF2 HSPA6
MLF2 DNAJB1
MLF2 DNAJB4
MLF2 STIP1
MLF2 ABCD3
MLF2 PMVK
BAD MAPK8
BAD SUMO2
BAD CSNK2A1
BAD YWHAG
BAD EWSR1
BAD YWHAZ
BAD YWHAQ
BAD PAK1
BAD SFN
BAD PIM1
BAD YWHAB
BAD YWHAE
BAD BRAF
BAD PRKCI
BAD MCL1
BAD BCL2L2
BAD S100A10
BAD CSNK2A2
BAD RPS6KA5
BAD BNIP3L
BAD PIM3
BAD BCL2L11
BAD RPS6KA3
TMED3 TMED10
TMED3 TMED2
NCOA3 MAPK8
NCOA3 CREBBP
NCOA3 SUMO1
NCOA3 RXRA
NCOA3 RELA
NCOA3 NR4A1
NCOA3 PSME3
NCOA3 EP300
NCOA3 CCND1
NCOA3 SMARCA4
NCOA3 UBC
NCOA3 SMAD3
NCOA3 ANKRD11
NCOA3 ESRRA
NCOA3 SMAD2
NCOA3 CSNK1E
NCOA3 PSMC5
NCOA3 PPARD
NCOA3 PHF1
NCOA3 GTF2B
NCOA3 DDX17
NCOA3 DDX5
NCOA3 BCL3
NCOA3 SMARCC1
NCOA3 YWHAQ
NCOA3 SMARCC2
NCOA3 CSNK1D
NCOA3 RARG
NCOA3 NPAS2
NCOA3 BMP7
NCOA3 TRIM33
NCOA3 NCOA3
NCOA3 SRA1
