TSG101 CRK
TSG101 EPHA2
TSG101 CHMP5
TSG101 IMMT
TSG101 RPS27A
TSG101 SMARCC2
TSG101 CD2AP
TSG101 KRT18
TSG101 TOM1L1
TSG101 THOC7
TSG101 AATF
TSG101 PPFIBP2
TSG101 NT5DC2
TSG101 KRT13
TSG101 THRB
TSG101 ATP5PB
TSG101 SH2D3A
TSG101 TRIM35
TSG101 COPS6
TSG101 LNX1
TSG101 BAG4
TSG101 AJUBA
TSG101 PPP1R13B
TSG101 CBY1
TSG101 FAM110A
TSG101 PRDM16
TSG101 BRPF3
TSG101 LCN2
NOP53 CSNK2A1
NOP53 TSPYL2
NOP53 CEP70
NOP53 NOP53
KLF3 CTBP2
OBSCN CALM1
PTGS2 CTNNB1
PTGS2 EP300
PTGS2 COPS5
PTGS2 PTGS2
PTGS2 USP22
PTGS2 PTGES
PTGS2 CYP4F8
PSMA1 AGR2
PSMA1 LMO2
PSMA1 JUN
PSMA1 UBE3A
PSMA1 MYC
PSMA1 PSMA3
PSMA1 KRT15
PSMA1 MAPRE1
PSMA1 KCTD1
PSMA1 HSPA5
PSMA1 GOLGA2
PSMA1 LDOC1
PSMA1 TRIM27
PSMA1 KRT19
PSMA1 ABI2
PSMA1 KRT13
PSMA1 TFE3
PSMA1 HOOK2
PSMA1 HSPA1A
PSMA1 CEP70
PSMA1 TNFAIP1
PSMA1 RBCK1
PSMA1 HOMEZ
PSMA1 UBQLN2
PSMA1 PSMC5
PSMA1 IFT20
PSMA1 PSMD4
PSMA1 EIF4A3
PSMA1 NME7
PSMA1 COIL
PSMA1 PSMC3
PSMA1 PSMC4
PSMA1 SAT1
PSMA1 MKNK2
PSMA1 CALCOCO2
PSMA1 GABARAPL2
PSMA1 PSMC1
PSMA1 PSMD7
PSMA1 PSMB5
PSMA1 PSME1
PSMA1 TXNL1
PSMA1 PSMA1
PSMA1 PSMB1
PSMA1 PSMB4
PSMA1 PSMB6
PSMA1 PSMB7
PSMA1 PSMD12
PSMA1 PSMD8
PSMA1 PSMG4
PSMA1 PSMG2
PSMA1 TMOD3
PSMA1 MCC
PSMA1 TUBA4A
PSMA1 LZTS2
PSMA1 APIP
PSMA1 ACTR6
PSMA1 PM20D2
PSMA1 LONRF1
PSMA1 DYNLT1
PSMA1 PCBD1
PSMA1 NAB2
PSMA1 DCTPP1
PSMA1 KAZN
FAS ANK3
FAS MAPK8
FAS SUMO1
FAS SP1
FAS EGFR
FAS EEF1A1
FAS SRC
FAS TNFRSF1A
FAS EZR
FAS CALM1
FAS FAS
FAS ERG28
FAS FEM1B
FAS CASP8AP2
FAS RIF1
FAS TNFRSF10B
CCDC57 EIF4G1
CCDC57 NUMA1
CCDC57 TRIM29
CCDC57 TRIM27
CCDC57 ABI2
CCDC57 EIF3D
CCDC57 AMOTL2
CCDC57 PRPF31
CCDC57 TMEM100
CCDC57 FAM161A
CCDC57 MFAP1
CCDC57 PPHLN1
CCDC57 CCDC57
CCDC57 CWF19L2
CCDC57 ZMAT2
CCDC57 NAPRT
CCDC57 HBA2
CCDC57 TXLNA
CCDC57 ABLIM1
CCDC57 RASD1
CCDC57 COIL
CCDC57 BEX2
CCDC57 BCAR3
CCDC57 GIGYF1
CCDC57 PSMB4
CCDC57 RUSC1
CCDC57 KLF15
CCDC57 SPRY1
CCDC57 NAB2
CCDC57 FAM107A
CCDC57 MT1E
CCDC57 ZBTB4
CCDC57 ZNF552
CCDC57 TSHZ2
CCDC57 SNRNP35
HADHB MAP3K1
HADHB MYC
HADHB CDKN1A
HADHB ECH1
HADHB APP
HADHB HSD17B10
HADHB ECHS1
HADHB SQSTM1
HADHB ATP1A1
HADHB GRB7
HADHB GABARAPL1
HADHB GABARAPL2
HADHB HADHA
HADHB VDAC1
HADHB ACOX1
HADHB HSD17B4
HADHB UQCRC2
HADHB ACAT1
HADHB DDOST
HADHB AUH
HADHB HMGCS1
HADHB ECHDC2
HADHB ATG101
RTN4 NR4A1
RTN4 SRC
RTN4 SOCS2
RTN4 BCL2L1
RTN4 YAP1
RTN4 SNX1
RTN4 WWP1
RTN4 DERL2
RTN4 RTN3
RTN4 ARL6IP1
RTN4 CYB5R3
RTN4 TUBA4A
RTN4 UQCRC2
RTN4 MBP
RTN4 LRPAP1
RTN4 RTN4
RTN4 ZFYVE21
RTN4 UQCRC1
ANKRD49 SMARCD1
AURKAIP1 MRPS18B
AURKAIP1 MRPS27
