USP2 BCAR1
USP2 SH2B2
USP2 NEFL
USP2 HOMER3
USP2 RRP15
USP2 ACTN2
USP2 KRT31
USP2 OIP5
USP2 ACTN3
USP2 ZRANB1
USP2 USP54
USP2 OPTN
USP2 CEP63
USP2 LMNB2
CUL1 MDM2
CUL1 FBXO3
CUL1 UBC
CUL1 PRKN
CUL1 YWHAG
CUL1 UBE2M
CUL1 COPS5
CUL1 RUVBL2
CUL1 YBX1
CUL1 PSMA7
CUL1 SKP1
CUL1 FAF1
CUL1 CUL4A
CUL1 PSMD2
CUL1 ERCC4
CUL1 DCUN1D1
CUL1 COPS8
CUL1 COPS6
CUL1 ZC3HC1
CUL1 PSMA6
CUL1 PSMA2
CUL1 CDC34
CUL1 COPS3
CUL1 GPS1
CUL1 COPS4
CUL1 CUL1
CUL1 CAND2
CUL1 COPS7A
CUL1 FBXW5
CUL1 SENP8
CUL1 DCUN1D2
CUL1 FBXO34
CUL1 FBXO32
CUL1 EEF1A2
CUL1 THRA
CUL1 RPL7
CUL1 RPL27
CUL1 POLR2L
CUL1 SLX1A
CUL1 NR1D2
CUL1 CUL5
CUL1 ANKHD1
CUL1 CRY2
FAM162A VDAC2
FKBP3 MDM2
FKBP3 BARD1
RTN4IP1 SORBS1
MTX2 CHCHD3
MTX2 IMMT
MTX2 SAMM50
LSMEM2 SGTA
LSMEM2 PLN
LSMEM2 LSMEM1
LSMEM2 CTXN3
LSMEM2 TMEM143
SLIRP AMOT
SLIRP SLX1A
SLIRP NDUFAB1
SGTA HSP90AA2P
SGTA CDH15
SGTA SPPL2A
SGTA GHR
SGTA UBL4A
SGTA BAG2
SGTA GET4
SGTA SGCA
SGTA CD99L2
SGTA PFN2
SGTA SGTA
SGTA MSTN
SGTA KTN1
SGTA EDA2R
SGTA CYB5R1
SGTA SRL
SGTA CHRNG
SGTA SHISA4
PSPH PTP4A3
PSPH CAP2
PSPH DUSP26
PSPH PSPH
NDUFS6 NDUFA13
NDUFS6 UQCRC2
NDUFS6 NDUFB9
NDUFS6 NDUFB11
NDUFS6 UQCRB
NDUFS6 NDUFS4
NDUFS6 CYC1
NDUFS6 NDUFA2
NDUFS6 NDUFB5
NDUFS6 NDUFA12
NDUFS6 NDUFB10
NDUFS6 NDUFA5
NDUFS6 NDUFS3
NDUFS6 NDUFA8
NDUFS6 NDUFB7
NDUFS6 NDUFS5
NDUFS6 NDUFS2
NDUFS6 NDUFA9
NDUFS6 NDUFV2
NDUFS6 NDUFS8
NDUFS6 NDUFB4
NDUFS6 NDUFS7
NDUFS6 NDUFV3
NDUFS6 NDUFA7
NDUFS6 NDUFV1
NDUFS6 NDUFA1
NDUFS6 NDUFA3
NDUFS6 UQCRQ
NDUFS6 NDUFA4
NDUFS6 NDUFB3
NDUFS6 UQCR10
NDUFS6 UQCRFS1
NDUFS6 NDUFB6
NDUFS6 NDUFA10
NDUFS6 NDUFC1
NDUFS6 UQCR11
NDUFS6 NDUFC2
NDUFS6 NDUFAB1
NDUFS6 ETFDH
NDUFS6 UQCRH
NDUFS6 NDUFA11
NDUFS6 UQCRC1
NDUFS6 NDUFB2
NDUFS6 NDUFB1
ECHS1 ECH1
ECHS1 HSD17B10
ECHS1 TRAP1
ECHS1 TRIM63
ECHS1 ACAD8
ECHS1 ACADM
ECHS1 ACADSB
ECHS1 CBWD2
ECHS1 HADH
ECHS1 HADHA
ECHS1 ACAD9
ECHS1 ACADS
CDH15 RXRA
CDH15 RARB
FABP7 NFIC
GBE1 GYS1
GBE1 GYG1
MSS51 HOMER3
MSS51 LMO1
KRT31 CDKN1A
KRT31 YWHAG
KRT31 PRKAA2
KRT31 THAP7
KRT31 WDR25
KRT31 RCOR3
KRT31 HDAC4
KRT31 FBXW5
KRT31 AMOT
KRT31 ATG9A
KRT31 CHRNG
KRT31 PDE4DIP
KRT31 MRPL40
KRT31 BYSL
KRT31 DGCR6L
KRT31 SNRNP25
KRT31 LINC00526
KRT31 COX5B
KRT31 COX5A
KRT31 EIF4E2
KRT31 MAP3K7CL
KRT31 COA5
KRT31 CHCHD2
KRT31 SPATA24
KRT31 FARS2
KRT31 EPDR1
KRT31 PSMC5
KRT31 MYOM1
KRT31 HSF4
KRT31 AIMP2
KRT31 TSNAX
KRT31 KIAA1217
KRT31 PRKAB2
KRT31 TACO1
KRT31 UACA
KRT31 FAM50B
KRT31 ZIC1
KRT31 KRT86
KRT31 MSRB3
KRT31 GADD45GIP1
KRT31 SAMD11
KRT31 TEAD4
HSPB1 CRYAB
HSPB1 TSC22D1
HSPB1 BAG3
HSPB1 TPT1
HSPB1 PRKG1
HSPB1 YAP1
HSPB1 PRKACA
HSPB1 ACTC1
HSPB1 SQSTM1
HSPB1 HSF1
HSPB1 HSPB8
HSPB1 HSPB1
HSPB1 CS
HSPB1 FTH1
HSPB1 TUBA4A
HSPB1 MTCH2
HSPB1 PSMD6
HSPB1 PRKCQ
HSPB1 SAP18
HSPB1 DMWD
HSPB1 POP7
HSPB1 CYCS
HSPB1 BRF2
TRIM54 FLNC
TRIM54 CDKN1A
TRIM54 ZBTB16
TRIM54 BYSL
TRIM54 RCOR3
TRIM54 TRIM63
TRIM54 TRIM54
TRIM54 EIF4E2
TRIM54 RAD23A
