SRC AKT1
SRC MAPK8IP3
SRC SRF
SRC CTNNB1
SRC LIG3
SRC ERBB2
SRC PTK2
SRC EPHB2
SRC MT-ND2
SRC CDH1
SRC BCAR1
SRC NCOA6
SRC TRAF3
SRC DAG1
SRC SHB
SRC VDR
SRC SRC
SRC DNM2
SRC CBLC
SRC PTGER4
SRC CORO7
SRC TRIM15
SRC ACTN1
SRC PKD1
SRC BDKRB2
SRC PRKCI
SRC FANCA
SRC EWSR1
SRC POLR2A
SRC UGT2B7
SRC HNF1A
SRC UBB
SRC CD2AP
SRC SPTAN1
SRC ARHGAP17
SRC DDX3Y
SRC AFDN
SRC TNFRSF11A
SRC TFG
SRC EZR
SRC ADGRE5
SRC PLCG2
SRC PROM1
SRC PRKCZ
SRC PRKCD
SRC AFAP1
SRC PRKCA
SRC PLD1
SRC TYRO3
SRC CYP4F2
SRC YTHDC1
SRC ASAP2
SRC CTTN
SRC ANXA2
SRC VCL
SRC SHANK2
SRC RALGAPB
SRC AP2B1
SRC GRK2
SRC LCT
SRC UBC
SRC SH3PXD2A
SRC CUL9
SRC ID4
SRC VIL1
SRC GUCY2C
SRC MKI67
SRC ENO3
SRC GTF2I
SRC CHN2
SRC ANKRD11
SRC STAT6
SRC SLC9A2
SRC SFPQ
SRC CACNA1C
SRC FLNB
SRC ERBB3
SRC PPARD
SRC HES1
SRC DLGAP4
SRC EFNB2
SRC CAST
SRC FARP2
SRC GJB1
SRC PXN
SRC CD46
SRC RPS6KB2
SRC ETS2
SRC MST1R
SRC SRRT
SRC CDCP1
SRC MICAL1
SRC CEACAM1
SRC STAP2
SRC PDIA2
SRC JUP
SRC GSN
SRC SH3BP1
TRIM25 FBXW7
TRIM25 KLF5
TRIM25 ILF3
TRIM25 JUP
TRIM25 FUS
TRIM25 TOP1
TRIM25 TRIM25
TRIM25 PITX2
TRIM25 RBCK1
TRIM25 UBE2S
TRIM25 HSPA1B
TRIM25 GPRC5A
TRIM25 TUBB4B
TRIM25 RPS29
TRIM25 RFFL
TRIM25 MAP3K13
TRIM25 SFN
TRIM25 TFG
ZNF207 ERBB3
ZNF207 SNRNP70
ZNF207 TCERG1
ZNF207 SF3B1
ZNF207 TRA2B
ZNF207 SPEN
ZNF207 SRRM2
ZNF207 RBM39
ZNF207 SRSF11
ZNF207 EIF4A3
ZNF207 MOV10
ZNF207 DHX15
ZNF207 NCBP1
ZNF207 PAXBP1
ZNF207 DDX39B
ZNF207 THOC2
ZNF207 SRSF2
ZNF207 PRPF3
ZNF207 ACIN1
ZNF207 RBM15
ZNF207 PRPF4B
ZNF207 SRSF5
ZNF207 SRRT
ZNF207 SRSF6
ZNF207 LUC7L3
ZNF207 CDK12
ZNF207 DHX16
ZNF207 PRPF18
ZNF207 PPIL2
ZNF622 ZNF622
ZNF622 BEND7
ONECUT2 KDM5B
CACNB2 CTBP2
CACNB2 CACNA1C
TJP2 HGS
TJP2 YWHAZ
TJP2 CTNNA1
TJP2 SFN
TJP2 TJP1
TJP2 OCLN
TJP2 KBTBD7
TJP2 CGN
TJP2 SCRIB
GPATCH1 SF3B1
GPATCH1 SRRM2
GPATCH1 EIF4A3
GPATCH1 PNN
GPATCH1 PRPF4B
KAT6B ING5
KAT6B BRD1
KAT6B BRPF3
ZNF804A ATXN1
CIT JUN
CIT GRIN1
CIT RHOB
CIT RND3
FOLH1 C3orf52
USP46 PHLPP1
USP46 USP12
TRIB1 CEBPA
TRIB1 STK40
BACH1 HDAC1
BACH1 UBC
BACH1 RAD50
BACH1 BARD1
BACH1 RBCK1
BACH1 MAFK
BACH1 BACH1
BACH1 MAFF
BACH1 FAM83D
CHD9 PPARA
LARP1B SNRNP70
LARP1B PIBF1
LARP1B RBBP8NL
FNBP4 PLXNA2
MAST2 TRAF2
MAST2 CDHR2
MAST2 STK36
KMT5A TCF7L2
KMT5A EHMT1
KMT5A DOT1L
KMT5A KMT2C
KMT5A KMT5A
C1orf116 HOMER1
CHN2 AKT1
CHN2 ERBB3
CHN2 SHF
ACY3 PMM2
ACY3 ACY3
ACY3 INCA1
SFXN5 CREB3L1
SFXN5 TMEM86B
SCX SOX9
VDR TDG
VDR NCOR1
VDR JUN
VDR CLASRP
VDR PPARG
VDR NCOA6
VDR POLR2A
VDR PRKCA
VDR TRRAP
VDR ACTN4
VDR MED13
VDR MED16
VDR VDR
VDR HR
VDR BAG1
VDR NR0B2
VDR CYP3A4
VDR ANKRD11
KCNMA1 PTK2
KCNMA1 PRKCA
KCNMA1 MAGI1
KCNMA1 AKAP5
KCNMA1 KCNMA1
SLC4A7 SLC4A4
TNPO2 GCH1
TNPO2 NXF1
TNPO2 A1CF
TNPO2 BEND7
TNPO2 PYCR1
SPICE1 STXBP1
SPICE1 OFD1
SPICE1 CEP295
SLC22A5 SH3RF1
TMEM41A STX1A
TMEM41A FA2H
PPP1R1B TFCP2
PPP1R1B DLGAP4
RAB27A SYTL4
RAB27A STX1A
RAB27A MLPH
RAB27A MYRIP
RAB27A SYTL2
RAB27A CEP126
RAB27A EXPH5
RAB27A RIMS2
RAB27A RPH3AL
PIWIL4 AGO2
SULT2B1 REL
SULT2B1 SULT2B1
CEP83 ATF4
CEP83 CBFA2T2
CEP83 CEP83
EZR MAPK8
EZR CTNNB1
EZR ERBB2
EZR PTK2
EZR PRKCA
EZR YWHAZ
EZR ACTN1
EZR DLG1
EZR CDH1
EZR FADD
EZR S100P
EZR AHNAK
EZR EZR
EZR PALLD
EZR PLS1
EZR MISP
EZR RANBP2
EZR PRKCI
EZR PLCB3
EZR GRK2
EZR SGK1
EZR CASP10
EZR TNFRSF10B
UNC5CL NFKB1
PRLR UBC
PRLR YWHAZ
PRLR PRLR
PRLR NEK3
PRLR INSIG2
CMIP TRIM54
GGT7 MALL
GGT7 CYB561
ZFPM1 CTBP2
EHF ELF3
EHF FRZB
TTC3 AKT1
TTC3 UBC
TTC3 POLG
YME1L1 PSEN1
LCOR HDAC1
LCOR HDAC6
LCOR CTBP2
LCOR GOLGA2
LCOR CBX4
LCOR EHMT1
LCOR RREB1
TRIM54 CDKN1A
TRIM54 RABGEF1
TRIM54 MYO5B
TRIM54 ARHGEF5
TRIM54 INPP5J
TRIM54 TRIM54
TRIM54 ZNF587
TRIM54 SSX2IP
TRIM54 GEM
TRIM54 PIK3R3
TRIM54 RBM41
TRIM54 CDK18
TRIM54 KPNA2
TRIM54 ARFIP2
TRIM54 CCHCR1
TRIM54 HGS
TRIM54 EXOC7
TRIM54 OSGIN1
TRIM54 PICK1
TRIM54 TEPSIN
TRIM54 GTF2I
TRIM54 MYO15B
TRIM54 NEK6
TRIM54 CBX8
TRIM54 PRPF18
TRIM54 ANKRD11
TRIM54 PRKAB2
TRIM54 MNS1
TRIM54 CHD2
TRIM54 GTF2IRD2B
GPM6A PRKCA
MSI1 AGO2
ZNF440 CARD10
ZNF440 XBP1
ZNF440 STX1A
EDF1 JUN
EDF1 PPARG
EDF1 PRKCA
EDF1 MAPK6
SDCBP2 LGALS2
SDCBP2 ADAP1
SDCBP2 YTHDC1
SDCBP2 SYT17
SDCBP2 BEND7
SDCBP2 SDCBP2
MST1 MST1R
MST1 MST1
TCERG1 POLR2A
TCERG1 HTT
TCERG1 SNRNP70
TCERG1 BARD1
TCERG1 SFPQ
TCERG1 SF3B1
TCERG1 SRSF2
TCERG1 CDK12
TCERG1 TRA2B
TCERG1 PAXBP1
TCERG1 PRPF3
TCERG1 FANCA
TCERG1 ACIN1
TCERG1 RBM39
TCERG1 MOV10
TCERG1 LUC7L3
TCERG1 LUC7L
TCERG1 SRRM2
TCERG1 FANCC
TCERG1 SRSF5
TCERG1 DHX15
TCERG1 EIF4A3
TCERG1 SRRT
TCERG1 NCBP1
TCERG1 THOC2
TCERG1 RBM15
TCERG1 SRSF11
TCERG1 DHX16
TCERG1 PRPF18
TCERG1 PPIL2
TCERG1 PRPF4B
TCERG1 SRSF6
TCERG1 SPEN
TCERG1 DDX39B
PDZRN3 EFNB2
PDZRN3 PDZRN3
KSR2 MAPK3
MYO15A HSF4
MYO15A WHRN
IFRD1 HDAC1
IFRD1 PIP5K1B
ATF3 HDAC1
ATF3 JUN
ATF3 NFKB1
ATF3 HDAC6
ATF3 ATF4
ATF3 DDIT3
ATF3 FHL2
ATF3 FGFR3
ATF3 ATF3
ATF3 ID3
ATF3 CEBPG
MID1 UBE2K
MID1 EPN2
MID1 EPN3
MID1 MID1
TICAM1 IRF3
TICAM1 TRAF2
TICAM1 TRAF4
TICAM1 IRF7
TICAM1 RIPK3
TICAM1 TRAF3
TICAM1 RIPK1
PRKAB2 REL
PRKAB2 GOLGA2
PRKAB2 TCF7L2
PRKAB2 NET1
PRKAB2 TRAF2
PRKAB2 ULK1
PRKAB2 STIM2
PRKAB2 BLZF1
PRKAB2 CREB3L1
PRKAB2 STX19
PRKAB2 SH3PXD2A
PRKAB2 C19orf54
PRKAB2 PPP1R16A
PRKAB2 RAB3IP
PRKAB2 KHDC4
PRKAB2 USP54
PRKAB2 PPP1R13B
PRKAB2 ABHD11
PRKAB2 RPH3AL
MUC4 ERBB2
FUS AKT1
FUS CTNNB1
FUS ZMYM2
FUS LMNA
FUS GRIN1
FUS POLR2A
FUS EWSR1
FUS DDIT3
FUS SNRNP70
FUS KPNA2
FUS SFPQ
FUS HEXIM1
FUS SAFB2
FUS ILF3
FUS SRSF10
FUS UBA1
FUS DHX15
FUS RC3H1
FUS MEPCE
FUS SRSF2
FUS VCL
FUS DGCR8
FUS FUS
CDK18 RABEP1
CDK18 REL
CDK18 YWHAZ
CDK18 HAP1
CDK18 GOLGA2
CDK18 TRAF2
CDK18 HOOK2
CDK18 CCNK
CDK18 TSGA10
CDK18 SEC24D
CDK18 MIPOL1
CDK18 PIBF1
CDK18 BLZF1
CDK18 CCDC125
CDK18 INCA1
CREBZF ATF4
CREBZF CREBZF
NUAK2 SMAD4
NUAK2 UBC
NUAK2 GRIPAP1
TCF7L2 CTNNB1
TCF7L2 PSEN1
TCF7L2 FOSL1
TCF7L2 JUP
TCF7L2 RNF43
TCF7L2 C19orf54
ADH6 ALDH18A1
ADH6 ALDH1A1
ADH6 ALDH2
ADH6 AOC1
ETFDH NDUFA13
ETFDH MT-ND2
ETFDH NDUFB7
ETFDH MT-ND1
ETFDH MT-ND6
ETFDH NDUFV3
ETFDH MT-ND5
ETFDH MT-ND4
ETFDH NDUFA1
ETFDH MT-ND4L
ETFDH MT-ND3
ETFDH MT-CYB
SHTN1 TFCP2
SHTN1 EXOC6B
SHTN1 SHTN1
CAPN7 CTBP2
CAPN7 GOLGA2
CAPN7 IST1
CAPN7 PPP1R13B
CAPN7 IFT88
FGFR2 HGS
FGFR2 PAK4
FGFR2 FGFR2
FGFR2 CACNA1D
TBCE TUBA4A
TFG HGS
TFG EWSR1
TFG TFG
TFG SEC31A
TFG CEP126
TFG SEC24A
TFG LENG8
TFG ARHGEF16
TFG FBXL18
TFG DVL3
TFG LASP1
TFG PLA2G10
TFG UBAP2
TFG C19orf54
TFG PLEKHG4
TFG INCA1
PANX1 BCL2L2
PANX1 FAXDC2
TXLNA HYPK
