SYTL5 CEP70
SYTL5 RAB27B
SPRY2 SRC
SPRY2 PRKCD
SPRY2 SH3KBP1
SPRY2 ZNF587
SPRY2 PLSCR1
SPRY2 TRAF2
SPRY2 LASP1
SPRY2 MKNK2
SPRY2 DNM2
SPRY2 GNE
SPRY2 SPRY2
SPRY2 CBLC
SPRY2 GPRIN2
SDHB TNIP2
SDHB GEM
SDHB NDUFB9
SDHB SUCLG1
SDHB SUCLG2
STRBP CAMK2G
GFPT1 PRKCD
GFPT1 SOCS6
GFPT1 PRKCI
GFPT1 PRKCZ
GFPT1 HK2
COG7 TAX1BP1
COG7 COG7
RAB17 CHMP6
RAB17 SMURF2
RAB17 C11orf49
BAZ2B CTBP2
BAZ2B TRAF2
BAZ2B CEP70
BAZ2B NR2F6
TLK2 YWHAZ
TLK2 IRF7
TLK2 CEP70
TLK2 DYNLL1
TLK2 TLK1
TLK2 TLK2
PMM1 HK2
MRPS36 MRPS35
MRPS36 MRPL12
MRPS36 MRPL27
MRPS36 MRPS34
MRPS36 MRPL41
MRPS36 MRPS18A
MRPS36 MRPL28
MRPS36 MRPL13
MRPS36 MRPL23
MRPS36 MRPS6
MRPS36 MRPL52
MRPS36 MRPL14
MRPS36 MRPL21
TTLL5 CDKN1A
RPS15 TRIM25
RPS15 RPL31
RPS15 YBX1
RPS15 RPL28
RPS15 TOP1
RPS15 RPLP2
RPS15 HNRNPM
RPS15 RPS11
RPS15 DDX21
RPS15 RPS19
RPS15 RPL37A
RPS15 RPS24
RPS15 SRPK1
RPS15 UPF2
RPS15 RPL27A
RPS15 RPL36
RPS15 RPL38
RPS15 RPL29
RPS15 RPL35
RPS15 RPL13A
RPS15 RPS29
RPS15 DUSP5
RPS15 RPS18
RPS15 RPS21
RPS15 RPL36A
RPS15 RPL39
RPS15 SCYL2
RPS15 RPL41
RPS15 RPL37
RPS15 RPS4Y1
LGALS3 CSNK2A1
LGALS3 LGALS3BP
LGALS3 SLC12A2
LGALS3 ECE1
LGALS3 PLCE1
LGALS3 LGALS3
LGALS3 MYLK
LGALS3 CSNK1A1
LGALS3 CFTR
LGALS3 KIF16B
SHROOM3 SFN
SHROOM3 RPS6KA1
SHROOM3 DYNLL1
HNF4A CTNNB1
HNF4A SRC
HNF4A SMAD3
HNF4A PROX1
HNF4A HNF1A
HNF4A PPARA
HNF4A RAD50
HNF4A PPARGC1A
HNF4A HNF4A
HNF4A NR1I2
HNF4A DDX3X
HNF4A MED16
HNF4A PCBD1
HNF4A MED24
HNF4A SREBF2
HNF4A CEACAM1
HNF4A NRIP1
HNF4A PABPC4
HNF4A AMBP
HNF4A PNRC2
HNF4A PPARGC1B
