OTX1 ARHGEF17
OTX1 OXER1
OTX1 SLC15A2
OTX1 KRTAP4-4
OTX1 KRTAP17-1
OTX1 KRTAP4-1
HSPB1 MYC
HSPB1 EGFR
HSPB1 CALR
HSPB1 CRYAB
HSPB1 TSC22D1
HSPB1 TFAP2A
HSPB1 YWHAZ
HSPB1 BAG3
HSPB1 HSP90AA1
HSPB1 YAP1
HSPB1 PRKCI
HSPB1 SQSTM1
HSPB1 HSPB8
HSPB1 CRYBB2
HSPB1 HSPB1
HSPB1 FTH1
HSPB1 FKBP4
HSPB1 TES
HSPB1 TUBA4A
HSPB1 TGM1
HSPB1 USP38
HSPB1 DMWD
HSPB1 LRIF1
AIPL1 HSPA8
AIPL1 TXNL4B
PLA2G2A PLA2G2A
HOXC8 GSTO2
HOXC8 PAX6
HOXC8 PDE4DIP
HOXC8 KCTD9
HOXC8 HOMEZ
HOXC8 OIP5
HOXC8 BLZF1
HOXC8 PBX1
HOXC8 KHDC1
SDCBP2 ARF4
SDCBP2 HSBP1
SDCBP2 NKAPD1
SDCBP2 BEND7
SDCBP2 SDCBP2
SDCBP2 TM4SF1
SDCBP2 FAM13C
SDCBP2 PTMS
ZIC2 UBC
ZIC2 APOE
TRPC3 TRPC4
TRPC3 STX3
TRPC3 TRPC3
TRPC3 PLCB1
EDNRB CAV1
EDNRB EDN3
EDNRB EDN1
RASSF8 YWHAG
RASSF8 YAP1
RASSF8 PARD6B
RASSF8 TP53BP2
RASSF8 FRMD6
ATF3 MDM2
ATF3 TP63
ATF3 SMAD3
ATF3 ATF4
ATF3 TP73
ATF3 FHL2
ATF3 FGFR3
ATF3 ATF3
ATF3 POLR3D
ATF3 ID3
ATF3 LRIF1
ATF3 A4GALT
MID1 UBE2D3
MID1 UBE2E2
MID1 KIF9
MID1 MID1
CRYBB2 CRYAB
CRYBB2 LMO4
CRYBB2 CRYBA2
CRYBB2 CRYBA4
CRYBB2 CRYBB2
GLS ARF6
GLS SNTA1
MUC4 TOLLIP
NUAK2 UBC
NUAK2 BTRC
NUAK2 HSP90AA1
NUAK2 TGFBR1
LRRC8E TRIM3
LRRC8E TRIM2
FAM83A BHLHE40
FAM83A GCC1
FAM83A PLAGL2
FAM83A FAM83A
S100A13 FGF1
S100A13 IL1A
S100A13 SYT1
S100A13 S100A14
S100A13 S100A13
ZNF229 CABP5
FGFR2 FGF2
FGFR2 FGF1
FGFR2 FGFR2
FGFR2 EPHA4
TFG TFG
TFG SEC24A
TFG RIPPLY2
TFG MED21
TFG ARHGEF16
TFG CRX
TFG KHDC1
TFG OXER1
CYP2C18 A2M
SERPINA3 APP
SERPINA3 MMP1
SERPINA3 SERPINA3
AJAP1 CTNNB1
AJAP1 CDH1
STXBP1 PLD1
STXBP1 APP
STXBP1 STX3
