RHBDL2 EFNB2
PDX1 PBX1
PDX1 PDX1
ATF3 TP53
ATF3 HDAC1
ATF3 JUN
ATF3 SMARCA4
ATF3 HDAC6
ATF3 DDIT3
ATF3 FHL2
ATF3 FGFR3
ATF3 ATF3
ATF3 ID3
ATF3 CEBPG
MID1 CDC37
MID1 EHHADH
MID1 KIF9
MID1 EPN3
MID1 MID1
TICAM1 TRAF2
TICAM1 TRAF4
TICAM1 RIPK1
LINC01588 MDFI
MUC4 ERBB2
CDC20B GOLGA2
CDC20B TRAF2
CDC20B MDFI
CDC20B PLK2
SLC35G1 EBP
CDK18 KRT15
CDK18 YWHAZ
CDK18 GOLGA2
CDK18 HSP90AA1
CDK18 YWHAH
CDK18 TRAF2
CDK18 HOOK2
CDK18 GORASP2
CDK18 SEC24D
CDK18 PIBF1
CDK18 CCDC125
CDK18 ZNF774
LXN DNAJC11
LXN TMEM14A
LXN COX6A1
LXN NSMF
LXN YIF1B
NUAK2 UBC
NUAK2 HSP90AA1
NUAK2 CDC37
TCF7L2 CTNNB1
TCF7L2 CTBP1
TCF7L2 FOSL1
TCF7L2 XIAP
TCF7L2 JUP
TCF7L2 RNF43
TCF7L2 C19orf54
TCF7L2 BPIFA1
ADH6 ALDH7A1
ADH6 ALDH18A1
ADH6 ALDH1A1
ADH6 ALDH2
ADH6 ALDH1A3
ADH6 ALDH3A1
ADH6 MAOA
ADH6 AOC1
ADH6 AKR1A1
ETFDH MT-ND2
ETFDH CYC1
ETFDH NDUFB10
ETFDH NDUFB7
ETFDH UQCRC1
ETFDH UQCRQ
ETFDH NDUFA9
ETFDH NDUFS8
ETFDH NDUFV1
ETFDH MT-ND1
ETFDH UQCR10
ETFDH MT-ND6
ETFDH NDUFV3
ETFDH NDUFA7
ETFDH MT-ND5
ETFDH MT-ND4
ETFDH NDUFA1
ETFDH MT-ND4L
ETFDH MT-ND3
ETFDH MT-CYB
B4GALT5 B3GNT7
B4GALT5 GCNT3
B4GALT5 B3GNT3
SHTN1 LNX1
SHTN1 SHTN1
FGFR2 HGS
FGFR2 PAK4
FGFR2 FGFR2
FGFR2 CACNA1D
FGFR2 EPHA4
FGFR2 FGF9
BOLA3 PICK1
TFG HGS
TFG MAGED1
TFG TFG
TFG SEC31A
TFG CFTR
TFG MAPK13
TFG LENG8
TFG ARHGEF16
TFG FBXL18
TFG PLA2G10
TFG UBAP2
TFG SF3B4
TFG NADSYN1
TFG WWOX
TFG C19orf54
TFG BPIFA1
STXBP1 PLD1
STXBP1 APP
STXBP1 HGS
STXBP1 PRKCA
STXBP1 SYTL4
STXBP1 STX3
STXBP1 STX1A
STXBP1 STX19
STXBP1 TUBB2A
STXBP1 TUBB4B
STXBP1 USO1
CSTF3 CPSF1
SLC30A4 YIPF6
HEXIM1 HDAC1
HEXIM1 DDX1
HEXIM1 HSPD1
HEXIM1 DYNC1H1
HEXIM1 OSBPL1A
HEXIM1 HEXIM1
THOC2 SRRM2
THOC2 SRSF11
THOC2 DHX15
THOC2 NCBP1
THOC2 PAXBP1
THOC2 ACIN1
THOC2 U2SURP
THOC2 LUC7L3
THOC2 SRRT
THOC2 SF3B4
THOC2 PPIL2
ABHD17C VCP
HSPH1 NR4A1
HSPH1 YWHAZ
HSPH1 CFTR
HSPH1 UBA1
HSPH1 PAFAH1B3
HSPH1 STK39
FOXA3 TLE2
NTN4 NEO1
NTN4 CASK
DEDD2 HNRNPAB
DEDD2 CASP10
DEDD2 CDCA7L
DEDD2 DEDD2
ZBTB7C JUN
ZBTB7C AP2B1
ZBTB7C SREBF1
ZBTB7C NR5A2
OS9 HSP90B1
OS9 SYVN1
