CLPS PNLIP
MAP3K8 HSP90AB1
MAP3K8 SPTBN1
MAP3K8 HSPA1A
MAP3K8 CALM1
MAP3K8 PFKL
MAP3K8 DDX3X
MAP3K8 ACTL6A
MAP3K8 RELB
MAP3K8 BMPR2
MAP3K8 MSN
MAP3K8 NFKBIB
MAP3K8 RDX
MAP3K8 AKT3
MAP3K8 MAP3K8
MAP3K8 CALM2
MAP3K8 PAPOLA
MAP3K8 GLG1
MAP3K8 CD40
ZNF384 VIM
ZNF384 TAF15
ZNF384 PCBP1
MYL12B CSNK2A1
MYL12B ARRB1
MYL12B DAPK3
MYL12B ROCK1
MYL12B ILK
MYL12B MYLK
MYL12B MYLIP
EPAS1 CREBBP
EPAS1 SUMO1
EPAS1 JUN
EPAS1 SP1
EPAS1 KLHL20
EPAS1 EP300
EPAS1 SMAD3
EPAS1 APC
EPAS1 EGLN3
EPAS1 EPAS1
EPAS1 PSMC3
EPAS1 MAX
EPAS1 MEF2C
EPAS1 ARNTL2
BAALC KLF4
BAALC NAA10
MPDZ LATS2
MPDZ YAP1
MPDZ ARHGAP17
MPDZ AMOTL2
MPDZ F11R
MPDZ PLEKHA1
MPDZ MPP5
MPDZ MPDZ
MPDZ CLDN5
MPDZ TEAD2
MPDZ AMOTL1
LMO2 GATA2
LMO2 AFDN
LMO2 RELA
LMO2 LMO2
LMO2 TAL1
LMO2 HNRNPM
LMO2 ZNF24
LMO2 ABI2
LMO2 MAPRE1
LMO2 KANK2
LMO2 IFT43
LMO2 UBA6
LMO2 HNRNPC
LMO2 PDE9A
LMO2 SP1
LMO2 STAT3
LMO2 SMAD2
LMO2 RB1
LMO2 CALCOCO2
LMO2 LZTS2
LMO2 PHC2
LMO2 N4BP2L2
LMO2 RLIM
LMO2 ELF2
LMO2 ROCK1
LMO2 ERG
LMO2 BANP
LMO2 LYL1
LMO2 VEZF1
LMO2 ARID5A
LMO2 EIF3B
LMO2 RCN1
LMO2 TRIB3
LMO2 HDAC5
LMO2 ENKD1
LMO2 RTL8C
LMO2 MSN
LMO2 RUSC1
LMO2 LDB2
LMO2 KAZN
LMO2 ISY1
PDE7B NPR1
PDE7B ADCY4
PSMD3 UBE3A
PSMD3 MYC
PSMD3 PSMA3
PSMD3 HNRNPF
PSMD3 NFKB2
PSMD3 HSPA8
PSMD3 HSPD1
PSMD3 UBQLN1
PSMD3 HSPA5
PSMD3 TRAF6
PSMD3 NFKBIA
PSMD3 BAG3
PSMD3 SEM1
PSMD3 PSMA7
PSMD3 HSP90AB1
PSMD3 PSMD2
PSMD3 STAU1
PSMD3 PSMA6
PSMD3 HSPA1A
PSMD3 PLCG2
PSMD3 IPO9
PSMD3 PSMC6
PSMD3 PSME2
PSMD3 HSPA2
PSMD3 AGO2
PSMD3 PSMC5
PSMD3 PSMD4
PSMD3 DICER1
PSMD3 PSMC3
PSMD3 PSMC4
PSMD3 ECPAS
PSMD3 PSMC1
PSMD3 PSMD13
PSMD3 PSMC2
PSMD3 PSMD7
PSMD3 ADRM1
PSMD3 PSMA2
PSMD3 PSMD11
PSMD3 PSMD12
PSMD3 PSMD1
PSMD3 PSMB5
PSMD3 PSMB7
PSMD3 PSMB4
PSMD3 PSMB3
PSMD3 PSMA4
PSMD3 PSMD3
PSMD3 RNF181
PSMD3 PTP4A3
PSMD3 SLC25A3
PSMD3 HLA-B
PSMD3 PSMB1
PSMD3 PSMB2
NT5C3A CDA
NT5C3A ENTPD1
NT5C3A GMPS
NT5C3A AK2
NT5C3A IMPDH1
NT5C3A PNP
NT5C3A ADA
NT5C3A DUT
NT5C3A GUK1
NT5C3A AK4
NT5C3A AK1
RTF1 ARRB1
RTF1 NEDD4
RTF1 CDC73
RTF1 UBE2B
RTF1 SSRP1
PRPF31 CDC5L
PRPF31 SIAH1
PRPF31 DDX5
PRPF31 DDX17
PRPF31 CDK2
PRPF31 HNRNPK
PRPF31 SNRNP70
PRPF31 KPNA2
PRPF31 DHX9
PRPF31 SRSF1
PRPF31 SNW1
PRPF31 PRPF6
PRPF31 SF3B1
PRPF31 FXR1
PRPF31 SYF2
