RTN4 LRPAP1
RTN4 PRR13
RTN4 PLEKHF2
RTN4 RTN4
RTN4 UQCRC1
CNTLN RFK
AURKAIP1 MRPS18B
AURKAIP1 NRDC
AURKAIP1 PTCD3
AURKAIP1 DAP3
AURKAIP1 MRPS5
AURKAIP1 MRPS7
AURKAIP1 MRPS35
AURKAIP1 MRPS2
AURKAIP1 MRPS11
AURKAIP1 MRPS21
AURKAIP1 MRPS10
AURKAIP1 MRPS18C
AURKAIP1 MRPS33
AURKAIP1 MRPS24
AURKAIP1 AURKAIP1
RAB13 SMURF2
RAB13 RAB13
EPS8 MAP1LC3B
EPS8 ITGB1
EPS8 HNRNPC
EPS8 PCM1
EPS8 BAIAP2
EPS8 SMARCE1
EPS8 HOOK2
EPS8 EPS8
EPS8 SHB
EPS8 ALDH7A1
EPS8 BAIAP2L1
EPS8 ITSN2
EPS8 MRPL20
EPS8 DNALI1
EPS8 C8orf33
AHCY AGR2
AHCY YWHAZ
AHCY BCAR3
AHCY MAPK13
AHCY HLA-B
AHCY AHCY
VDAC1 RPL11
VDAC1 NPM1
VDAC1 GAPDH
VDAC1 RPS9
VDAC1 HSP90B1
VDAC1 HSPA8
VDAC1 HSPD1
VDAC1 CSNK2B
VDAC1 DDX5
VDAC1 TMEM41B
VDAC1 NCL
VDAC1 ANXA2
VDAC1 ACTB
VDAC1 TUBB
VDAC1 HNRNPA2B1
VDAC1 ENO1
VDAC1 EIF3B
VDAC1 YBX1
VDAC1 RACK1
VDAC1 HNRNPD
VDAC1 RPSA
VDAC1 HSP90AA1
VDAC1 RPS7
VDAC1 RPS13
VDAC1 VIM
VDAC1 BCL2L1
VDAC1 HSP90AB1
VDAC1 HNRNPA1
VDAC1 RAF1
VDAC1 PHB
VDAC1 TUBA1A
VDAC1 RAB7A
VDAC1 RPS4X
VDAC1 SSRP1
VDAC1 KIF5B
VDAC1 TPM3
VDAC1 HK1
VDAC1 KPNB1
VDAC1 EIF3E
VDAC1 EIF3D
VDAC1 EIF3I
VDAC1 EIF3M
VDAC1 ATP5F1C
VDAC1 VAPA
VDAC1 HNRNPH1
VDAC1 RPN1
VDAC1 SLC3A2
VDAC1 ATP1A1
VDAC1 MT-CO2
VDAC1 ATP5F1A
VDAC1 HSPA9
VDAC1 MCL1
VDAC1 RPL7A
VDAC1 RPS8
VDAC1 RPS3A
VDAC1 EEF1B2
VDAC1 RPL18
VDAC1 RPLP0
VDAC1 MYL6
VDAC1 RPL7
VDAC1 DDX3X
VDAC1 CBR1
VDAC1 RPL22
VDAC1 RAN
VDAC1 RPS10
VDAC1 GANAB
VDAC1 ANXA1
VDAC1 TARDBP
VDAC1 BSG
VDAC1 EIF6
VDAC1 RPLP1
VDAC1 RPS19
VDAC1 RPS24
VDAC1 ATP5F1B
VDAC1 SLC25A5
VDAC1 RAB2A
VDAC1 UQCRC2
VDAC1 VDAC2
VDAC1 VDAC3
VDAC1 ATP5PO
VDAC1 DDOST
VDAC1 NDUFA8
VDAC1 ATP1B1
VDAC1 ATP5PB
VDAC1 COX4I1
VDAC1 CYC1
VDAC1 MTCH2
VDAC1 DYNLT1
VDAC1 MYL12A
VDAC1 SLC25A4
VDAC1 NDUFA5
VDAC1 PGRMC1
VDAC1 PDHB
VDAC1 SLC25A3
VDAC1 SSR4
VDAC1 NDUFS3
VDAC1 EIF4A2
VDAC1 RPS12
VDAC1 FARSB
VDAC1 RPS18
VDAC1 GSTK1
VDAC1 PANK2
VDAC1 TOMM20
VDAC1 CYCS
VDAC1 VDAC1
VDAC1 RIPK2
VDAC1 NUDC
VDAC1 DYNLT3
VDAC1 ACAT2
VDAC1 TOMM22
VDAC1 HLA-B
PSME1 PSMA3
PSME1 TK1
PSME1 PIK3R3
PSME1 CHD3
PSME1 PSMA7
PSME1 VIM
PSME1 VCL
PSME1 PSMD2
PSME1 PSMA6
PSME1 USP22
PSME1 CDC37
PSME1 PSMC6
PSME1 PSME2
PSME1 PSMD14
PSME1 PSMC5
PSME1 PSMD4
PSME1 PSMC3
PSME1 PSMC4
PSME1 EIF6
PSME1 TUBB2A
PSME1 PSMC1
PSME1 PSMD13
PSME1 PSMD6
PSME1 PSMC2
PSME1 PSMD7
PSME1 PSMA2
PSME1 PSMD11
PSME1 PSMD12
PSME1 PSMD1
PSME1 PSMD3
PSME1 PSMD8
PSME1 PSMB1
PSME1 PSMA5
PSME1 PSMB7
PSME1 PSMA4
PSME1 PSMB2
PSME1 PSMB3
PSME1 PSMB4
PSME1 PSMB5
PSME1 PSMB6
PSME1 PFDN1
PSME1 FBXO7
PSME1 PSME1
PSME1 EMG1
PSME1 ATP1B1
PSME1 TUBB4B
RBM10 RPL11
RBM10 EEF1A1
RBM10 HNRNPF
RBM10 GNL3
RBM10 RPS9
RBM10 HSPD1
RBM10 HNRNPU
RBM10 ILF2
RBM10 HNRNPC
RBM10 RUVBL2
RBM10 RPL31
RBM10 DHX9
RBM10 YBX1
RBM10 RPL3
RBM10 RUVBL1
RBM10 HSP90AB1
RBM10 ATN1
RBM10 PHB
RBM10 RPS4X
RBM10 SF3B1
RBM10 PHB2
RBM10 ATP5F1C
RBM10 PTBP1
RBM10 SF3B4
RBM10 SNRPC
RBM10 DHX15
RBM10 U2AF2
RBM10 U2SURP
RBM10 RBM10
RBM10 IK
RBM10 CEP70
RBM10 RPS5
RBM10 WDR77
RBM10 DHX30
RBM10 RPL29
RBM10 RPS2
RBM10 RPL13A
RBM10 SSR4
RBM10 AGO2
RBM10 RPL6
RBM10 SLC25A3
RBM10 SF3B2
RBM10 DDOST
RBM10 RPS3A
RBM10 NDUFA4
RBM10 RPL4
RBM10 CMSS1
RBM10 RPL23
RBM10 PSMD3
RBM10 RPS15A
RBM10 RPL38
RBM10 MYCBP
RBM10 RPS8
RBM10 COPA
RBM10 TARBP2
RBM10 SF3A2
RBM10 DHCR7
RBM10 RPL26
RBM10 RPL24
RBM10 RPL23A
RBM10 SLC25A13
RBM10 PTCD3
RBM10 RPS6
RBM10 RPS18
RBM10 HSPA9
RBM10 SLC25A5
RBM10 RPL17
RBM10 RPS20
RBM10 C1QBP
RBM10 RPL35
RBM10 RPL27A
RBM10 SREK1
RBM10 RPS3
RBM10 SNU13
RBM10 BEND7
CAPZA2 RBBP6
CAPZA2 CD2AP
CAPZA2 ARHGAP17
CAPZA2 DCTN2
CAPZA2 ARPC2
CAPZA2 CAPZB
CAPZA2 ARPC3
CAPZA2 TWF2
CAPZA2 ACTR1A
CAPZA2 DCTN3
CAPZA2 DCTN6
CAPZA2 MYO5C
CAPZA2 MPP5
CAPZA2 PATJ
RPL11 PML
RPL11 MDM2
RPL11 IGF1R
RPL11 RPLP1
RPL11 TP53
RPL11 RPL5
RPL11 RPS26
RPL11 RPL31
RPL11 RPS14
RPL11 RPL9
RPL11 RPL23
RPL11 MYC
RPL11 RPL23A
RPL11 RPL3
RPL11 RPS3A
RPL11 RPL18A
RPL11 RPL36
RPL11 NOP56
RPL11 RPL10A
RPL11 RPL12
RPL11 RPL13
RPL11 RPL14
RPL11 RPL15
RPL11 RPL18
RPL11 RPL19
RPL11 RPL24
RPL11 RPL27A
RPL11 RPL37A
RPL11 RPL6
RPL11 RPL7A
RPL11 RPL7
RPL11 RPS11
RPL11 RPS12
RPL11 RPS13
RPL11 RPS15A
RPL11 RPS16
RPL11 RPS20
RPL11 RPS23
RPL11 RPS25
RPL11 RPS2
RPL11 RPS3
RPL11 RPS4X
RPL11 RPS6
RPL11 RPS8
RPL11 RPSA
RPL11 RPL30
RPL11 RPS5
RPL11 RPS19
RPL11 RPL4
RPL11 RPS7
RPL11 RPL22
RPL11 RPLP0
RPL11 RPS9
RPL11 RPL10
RPL11 RPL35
RPL11 RPS10
RPL11 RPL38
RPL11 RPL17
RPL11 NCL
RPL11 SNU13
RPL11 GAPDH
RPL11 ATP5F1C
RPL11 UPF1
RPL11 RPL36A
RPL11 WDR77
RPL11 RACK1
RPL11 RPS24
RPL11 YWHAG
RPL11 MRPS16
RPL11 TOP1
RPL11 DHX30
RPL11 PHF5A
RPL11 RPL29
RPL11 YWHAH
RPL11 VIM
RPL11 HNRNPA1
RPL11 MRPS15
RPL11 EEF1B2
RPL11 PHB
RPL11 EEF1A1
RPL11 RPL13A
RPL11 C18orf32
RPL11 POLR1C
RPL11 SF3B1
RPL11 SRSF10
RPL11 TUBB
RPL11 SYNCRIP
RPL11 HNRNPC
RPL11 SLC25A3
RPL11 HSPA8
RPL11 ANXA1
RPL11 VDAC3
RPL11 EIF4A2
RPL11 SF3B6
RPL11 RPL26
RPL11 U2AF2
RPL11 RPL35A
RPL11 DDX5
RPL11 FARSB
RPL11 HSP90AB1
RPL11 RUVBL2
RPL11 SRP14
RPL11 RPL32
RPL11 RPS28
RPL11 RAN
RPL11 RPLP2
RPL11 BRIX1
RPL11 RPS17
RPL11 EBNA1BP2
RPL11 DDX18
RPL11 RPL28
RPL11 ACTB
RPL11 KPNB1
RPL11 DDX19B
RPL11 MYL6
RPL11 NOP58
RPL11 EIF3I
RPL11 PSMD2
RPL11 DHX15
RPL11 MRPS23
RPL11 MYBBP1A
RPL11 SLC25A5
RPL11 EIF3M
RPL11 HNRNPA2B1
RPL11 YBX1
RPL11 HSP90AA1
RPL11 NOLC1
RPL11 ELAVL1
RPL11 SRPK1
RPL11 VDAC2
RPL11 TUFM
RPL11 RSL1D1
RPL11 PAK1IP1
RPL11 RPL34
RPL11 HNRNPD
RPL11 DHX9
RPL11 RPL39
RPL11 NEDD8
RPL11 ENO1
RPL11 MRPS5
RPL11 UBA52
RPL11 EIF3B
RPL11 ILF2
RPL11 EMG1
RPL11 ILF3
RPL11 RPL41
RPL11 RPS27L
RPL11 RPN1
RPL11 RPL11
RPL11 RPL27
RPL11 HSPD1
RPL11 STOML2
RPL11 EIF3E
RPL11 WDR18
RPL11 DDB1
RPL11 TCP1
RPL11 NFKBIB
RPL11 GNL3
RPL11 DDOST
RPL11 ZNF326
RPL11 CMSS1
RPL11 LRRC59
RPL11 RPS18
RPL11 TUBA1A
RPL11 ANXA2
RPL11 EIF3D
RPL11 KRR1
RPL11 HNRNPM
RPL11 HNRNPH1
RPL11 DDX21
RPL11 PWP1
RPL11 PTCD3
RPL11 ATP5F1A
RPL11 PA2G4
RPL11 HNRNPF
RPL11 NPM1
RPL11 TEX10
RPL11 GTPBP4
RPL11 SSRP1
RPL11 RPL37
RPL11 DIMT1
RPL11 COPA
RPL11 FMR1
RPL11 RPS15
RPL11 DDX3X
RPL11 PCNA
RPL11 UBE2M
RPL11 PHB2
RPL11 RBM4
RPL11 SF3B2
RPL11 NAE1
RPL11 HNRNPU
RPL11 DHCR7
RPL11 FAU
RPL11 RPS27A
RPL11 NFKB2
RPL11 RPS21
RPL11 MRPS2
RPL11 EIF4A3
RPL11 OSBPL3
PEF1 UBC
PEF1 HGS
PEF1 EWSR1
PEF1 TFG
PEF1 DNM2
PEF1 BAG3
PEF1 EIF4G1
PEF1 DAZAP2
PEF1 MED25
PEF1 PDCD6
PEF1 SEC31A
PEF1 FASN
PEF1 AKAP8L
PEF1 ANKRD10
PEF1 SEC24A
PEF1 C11orf1
PEF1 PEF1
RHBDD2 BCL2L1
RHBDD2 DYNC1H1
RHBDD2 NFU1
RHBDD2 GCSH
RHBDD2 TUFM
RHBDD2 TSR1
RHBDD2 SLC25A3
RHBDD2 TIMM17B
RHBDD2 MRPL35
RHBDD2 MICOS13
RHBDD2 MPC2
RHBDD2 ROMO1
RHBDD2 IFI27L1
HMGCR UBC
HMGCR INSIG1
HMGCR IDH1
HMGCR HMGCR
HMGCR IDH2
HMGCR HMGCL
PSMB6 PSME3
PSMB6 EZH2
PSMB6 PSMA3
PSMB6 HSPA8
PSMB6 HSPA5
PSMB6 PSMA7
PSMB6 PSMD2
PSMB6 PSMA6
PSMB6 HSPA1A
PSMB6 PSMC6
