RORA GFAP
RORA NME1
RORA RARB
RORA RORA
RORA NR1D1
TCEAL8 CCDC24
RCVRN CAV1
RCVRN GRK1
DCTN6 PMEPA1
DCTN6 DCTN2
DCTN6 DCTN5
GNAO1 PTPRU
GNAO1 RGS16
GNAO1 RGS4
GNAO1 DCTN2
GNAO1 KLHL3
GNAO1 GNAO1
GNAO1 RGS7
OLFM2 PKM
OLFM2 ST13
OLFM2 RAB11B
OLFM2 GNB5
OLFM2 OLFM2
ACAT1 PDHA1
ACAT1 EIF1B
ACAT1 ACAT2
ACAT1 OXCT1
RDX SLC9A3R1
RDX MCF2
RDX CPNE4
SLC25A4 IPO9
SLC25A4 PPID
SLC25A4 RPL38
SPRY2 PTPN11
SPRY2 HIF1A
SPRY2 ZNF587
SPRY2 STK16
SPRY2 HEXIM2
SPRY2 FAIM
SPRY2 EIF4E2
SPRY2 CRIP2
SPRY2 SPRY2
SPRY2 TMEM14B
SPRY2 TCAF1
TRDN RYR1
TRDN PTPRN
TRDN ASPH
FAM241B BNIP3
FAM241B RNF5
STRBP PRKRA
STRBP ADARB1
STRBP CAMK2G
STRBP HMGXB4
COG7 TAX1BP1
COG7 COG6
COG7 COG4
COG7 COG2
COG7 COG7
TACC1 ERCC4
TACC1 YEATS4
TACC1 THRA
TACC1 TDRD7
TACC1 LSM7
TACC1 SNRPG
TACC1 TACC1
TLK2 PAX6
TLK2 ASF1A
TLK2 FEZ1
TLK2 TLK2
PMM1 HK1
PMM1 HK2
PMM1 MPI
PMM1 HKDC1
PMM1 RAB6B
C11orf68 SH3GL3
C11orf68 TRAPPC2L
C11orf68 CSDE1
C11orf68 MTCL1
MRPS36 MRPS18B
MRPS36 MRPS23
MRPS36 DAP3
MRPS36 MRPS5
MRPS36 MRPL44
MRPS36 MRPL15
MRPS36 MRPS35
MRPS36 MRPL27
MRPS36 MRPS34
MRPS36 MRPS33
MRPS36 MRPL40
MRPS36 MRPL41
MRPS36 MRPL49
MRPS36 MRPS25
MRPS36 MRPL22
MRPS36 MRPS28
MRPS36 MRPL51
MRPS36 MRPL23
MRPS36 MRPS6
MRPS36 MRPL14
MRPS36 MRPL20
MRPS36 MRPL43
MRPS36 MRPL33
MRPS36 MRPL35
MRPS36 MRPL34
MRPS36 MRPL21
MRPS36 MRPL36
RPRD1B SPG21
RPRD1B RPRD1B
RPRD1B PFDN6
RGS16 GNAT1
UCHL3 COPS5
UCHL3 ENO1
UCHL3 COPS6
UCHL3 NEDD8
UCHL3 UCHL3
UCHL3 UBB
UCHL3 NSG2
WDR24 APPBP2
WDR24 NPRL3
BAG6 PELP1
BAG6 TSC22D1
BAG6 CSNK2B
BAG6 DNAJB11
BAG6 SMN1
BAG6 UBL4A
BAG6 MAPK6
BAG6 TTR
BAG6 SPP1
BAG6 AIFM1
BAG6 SGTA
BAG6 BAG6
BAG6 PSMD14
BAG6 TRAF6
BAG6 TFCP2
BAG6 IQCG
BAG6 FKBP2
BAG6 ELP1
BAG6 RPSA
BAG6 MDFIC
BAG6 EFEMP1
BAG6 MAGED1
BAG6 ATN1
BAG6 NBL1
BAG6 NDUFB11
AANAT PRKACB
AANAT GRB10
AANAT EIF4E3
ZBTB25 SUMO2
ZBTB25 KCTD1
ZBTB25 DDIT3
ZBTB25 TRAF6
ZBTB25 MTUS2
ZBTB25 TSC22D4
ZBTB25 HSBP1
ZBTB25 REEP6
ZBTB25 TRIM23
ZBTB25 KXD1
ZBTB25 SORBS3
ZBTB25 RAD54B
ZBTB25 ZBTB18
ZBTB25 ZBTB25
ZBTB25 PCBD1
ZBTB25 NT5C2
ZBTB25 VMAC
KRT17 CCDC85B
KRT17 APC
KRT17 USP1
KRT17 UCHL1
RPS15 TCOF1
RPS15 FBL
RPS15 YBX1
RPS15 RPSA
