PRPF31 HOOK2
PRPF31 CEP70
PRPF31 PDE4DIP
PRPF31 KCTD6
PRPF31 SRSF3
PRPF31 TFIP11
PRPF31 SNRPD1
PRPF31 MFAP1
PRPF31 SNRPD2
PRPF31 SNRPB
PRPF31 SNRPG
PRPF31 C1QTNF1
PRPF31 XAB2
PRPF31 SF3A3
PRPF31 PRPF4
PRPF31 CD2BP2
PRPF31 SNRPA1
PRPF31 SNU13
PRPF31 PHF5A
PRPF31 PRPF31
PRPF31 SNRPB2
PRPF31 SNRNP27
PRPF31 CIRBP
PRPF31 PAXBP1
PRPF31 LSM2
PRPF31 SNRNP40
PRPF31 NCBP2
PRPF31 PPIL2
PRPF31 CWC15
PRPF31 SNRPA
PRPF31 PPIL3
PRPF31 SNRPC
PRPF31 CALCOCO2
PRPF31 PUF60
PRPF31 LSM4
PRPF31 TSGA10
PRPF31 THOC7
PRPF31 SLU7
PRPF31 NUDT21
PRPF31 DDX41
PRPF31 PPIE
PRPF31 DNAJC8
PRPF31 DDX23
PRPF31 SRSF9
PRPF31 PLRG1
PRPF31 BUD31
PRPF31 SF3B4
PRPF31 TRIR
PRPF31 SMNDC1
PRPF31 SF3B6
PRPF31 DVL3
PRPF31 PPP1R16A
PRPF31 ZNF792
PRPF31 RBAK
PRPF31 CCDC106
ERC2 LNX1
ERC2 UNC13B
ERC2 ERC2
PYCR2 PYCR1
PYCR2 DUSP14
PYCR2 ALDH4A1
IQGAP2 POLR2H
IQGAP2 SKP1
IQGAP2 CDC42
IQGAP2 POLR1E
IQGAP2 AKAP8L
IQGAP2 CALM1
IQGAP2 POLR2L
IQGAP2 PDCD2
IQGAP2 UBAC1
IQGAP2 IQGAP2
PAWR FBXO45
PAWR DAPK3
PAWR TFPT
PAWR ATP5F1C
PAWR THAP1
PAWR PAWR
CDS1 PLD2
CDS1 NME3
CDS1 NME2
CDS1 NME1
CDS1 NME4
CDS1 NME6
CDS1 CDIPT
GNL3 TP53
GNL3 NPM1
GNL3 EEF1A1
GNL3 CDKN1B
GNL3 RPL23
GNL3 FBL
GNL3 TERF1
GNL3 RPL7
GNL3 RPS4X
GNL3 RPS6
GNL3 RPS15A
GNL3 RPS5
GNL3 LARP7
GNL3 ATP5F1C
GNL3 RPL3
GNL3 UPF1
GNL3 IMMT
GNL3 RPL36A
GNL3 RPL22
GNL3 RPS24
GNL3 RPS16
GNL3 EEF2
GNL3 RPL5
GNL3 MRPS16
GNL3 TOP1
GNL3 DHX30
GNL3 PHF5A
GNL3 RPL29
GNL3 RPL18
GNL3 RPL10A
GNL3 RPL18A
GNL3 HNRNPA1
GNL3 MRPS15
GNL3 RPL31
GNL3 PHB
GNL3 RPS2
GNL3 RPS13
GNL3 RPL13A
GNL3 DDX20
GNL3 C18orf32
GNL3 POLR1C
GNL3 RPL12
GNL3 SLC25A3
GNL3 RPL10
GNL3 RPS12
GNL3 SF3B6
GNL3 RPL26
GNL3 SNU13
GNL3 RPL35A
GNL3 HSP90AB1
GNL3 RPL24
GNL3 RPS7
GNL3 PCBP2
GNL3 LUC7L2
GNL3 RPS11
GNL3 MRPS22
GNL3 DDOST
GNL3 RPL9
GNL3 RPS18
GNL3 RPL39
GNL3 DIMT1
GNL3 RPS9
GNL3 RPL38
GNL3 RPS23
GNL3 RPL7A
GNL3 SLC25A5
GNL3 PHB2
GNL3 RPL19
GNL3 RPL27A
GNL3 RPLP2
GNL3 RPS17
GNL3 BRIX1
GNL3 ILF2
GNL3 LRRC59
GNL3 RPS3A
GNL3 RPS15
GNL3 RPL6
GNL3 RPS3
GNL3 GTPBP4
GNL3 RPL4
GNL3 RPL35
GNL3 RPS29
GNL3 KRR1
GNL3 RPS14
GNL3 YBX1
GNL3 RPL27
GNL3 WDR18
GNL3 MRPS23
GNL3 RPL28
GNL3 PWP1
GNL3 RPL15
GNL3 MRPS2
GNL3 RPS8
GNL3 RPL36
GNL3 SMNDC1
GNL3 RPLP1
GNL3 RPLP0
GNL3 RPL23A
GNL3 EBNA1BP2
GNL3 TUFM
GNL3 SRPK1
GNL3 RPL32
GNL3 MCF2L
GNL3 RPL17
GNL3 RPL30
GNL3 RPL21
GNL3 NR2F6
GNL3 RPL37A
GNL3 HNRNPH2
GNL3 RPL14
GNL3 RPL13
TPM4 TPM1
