NRP2 SEMA3C
FGF18 FGFR4
TSPYL1 JUN
TSPYL1 TSPYL2
TSPYL1 MDFI
TSPYL1 TSPYL1
LAMB1 LAMC1
LAMB1 COL6A1
LAMB1 LAMA2
ADHFE1 ALDH7A1
ADHFE1 ALDH1A1
ADHFE1 ALDH2
ADHFE1 ALDH6A1
ADHFE1 MAOB
ADHFE1 AOC3
ADHFE1 MAOA
MTERF2 APOD
JAM3 PARD3
JAM3 MEOX2
JAM3 JAM2
NFIX NFIX
EPDR1 SQSTM1
EPDR1 TNS2
EPDR1 ADAMTSL4
EPDR1 TRIP6
EPDR1 IGFBP6
DPYSL3 DPYSL2
ID2 TCF4
ID2 NEDD9
ID2 MSC
ID2 ID2
ID2 FNDC11
THY1 FAP
THY1 THY1
DACT3 SESTD1
WNT2 SFRP1
WNT2 FZD1
CAVIN3 CAVIN1
RYR2 PPP1CB
RYR2 ITPR1
RYR2 RYR2
RYR2 CAMK2A
RYR2 CACNA1C
FOXO3 PDK4
RTL8B CCDC102B
HTR2A GNAI1
HTR2A GLUL
IL15RA AXL
TUBB6 EGFR
TUBB6 TNFRSF1A
FHL1 SRF
FHL1 CHEK2
FHL1 HIVEP3
FHL1 FERMT2
FHL1 PDE4DIP
FHL1 PRNP
FHL1 AKAP12
FHL1 MCC
GALNT15 PDCD1LG2
ANXA1 EGFR
ANXA1 PRKCA
ANXA1 NFKBIA
ANXA1 ABL1
ANXA1 ANXA2
ANXA1 VIM
ANXA1 HNRNPH1
ANXA1 TGM2
ANXA1 CD4
ANXA1 ANXA6
ANXA1 CZIB
HSD17B14 DDIT3
HSD17B14 HSD17B14
HSD17B14 CLIC4
SLC35A5 TMEM100
MAOA SAT1
MAOA ALDH7A1
MAOA ALDH1A1
MAOA ALDH2
MAOA ADH5
MAOA ADH1A
MAOA MAOB
MAOA ADH1B
MAOA AOC3
MAOA HNMT
MAOA MAOA
MAOA SULT1A1
MAOA AOX1
FMOD TGFB3
PLPP3 PLPP3
ZBTB14 MORF4L2
ZBTB14 TCEANC
ZBTB14 FAM161A
ZBTB14 CAPN6
ZBTB14 C2orf68
MAP1LC3A UBC
MAP1LC3A SNCA
MAP1LC3A GPSM1
MAP1LC3A SQSTM1
MAP1LC3A TBC1D2B
MAP1LC3A ANK2
